id,name,popularity,genres,related_artist_ids,related_artist_names
1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,72,"['anime', 'j-pop']","['1XYuC1vxinTjHCNd5clB8C', '0hCWVMGGQnRVfDgmhwLIxq', '1S2S00lgLYLGHWA44qGEUs', '449AEgfeOxqAuRn0uX6l3u', '7HwzlRPa9Ad0I8rK0FPzzK', '1AyWsgtaIgXbzjJlTx2ZDp', '5HQAzIHOdemXR2DoevwhjT', '14T8NkbwXVZgbOvwnuGV89', '2s2SpSMHZqKrVhDr2F5km0', '0wRzWf3I4lUl9hdFF5uL0m', '1EowJ1WwkMzkCkRomFhui7', '706WzkJEacBrtkHKRpBU2q', '6wxfx1yhyqjCPYwwxJktR2', '7lNFzeAXmSIKexINNgO6bu', '6rs1KAoQnFalSqSU4LTh8g', '5Vo1hnCRmCM6M4thZCInCj', '6jIhEiXcCAyBsuEI7qZ9vc', '5kjGRHClVacSyllOUqU1S0', '0ySFZq3Wd0SQUyJUzmJAeb', '0llYwFIMgF9Jzmp4ZY7wbr']","['ARASHI', 'Sakanaction', 'Gen Hoshino', 'UNISON SQUARE GARDEN', 'SEKAI NO OWARI', 'AAA', 'KAT-TUN', 'GReeeeN', 'The Sharehappi from J Soul Brothers III from EXILE TRIBE', 'Sukima Switch', 'RADWIMPS', 'Motohiro Hata', 'King Gnu', 'Yuzu', 'back number', 'Official HIGE DANdism', 'Ken Hirai', 'SPITZ', 'sumika', 'KOBUKURO']"
1XYuC1vxinTjHCNd5clB8C,ARASHI,69,['j-pop'],"['1S2S00lgLYLGHWA44qGEUs', '0hCWVMGGQnRVfDgmhwLIxq', '449AEgfeOxqAuRn0uX6l3u', '7HwzlRPa9Ad0I8rK0FPzzK', '5HQAzIHOdemXR2DoevwhjT', '1AyWsgtaIgXbzjJlTx2ZDp', '1snhtMLeb2DYoMOcVbb8iB', '2s2SpSMHZqKrVhDr2F5km0', '14T8NkbwXVZgbOvwnuGV89', '0FcX6LktU0zirOd1u2cgpR', '4IcwB94LnZMt2452ZkPHZg', '57yri2SoJDyy8yQBWaMaFP', '1V5tslLekuqL1MdxFpnIb1', '2N19kPGlqKY8GiyE4DkAtp', '7lNFzeAXmSIKexINNgO6bu', '7imjaYNjhBtEQ3rRuvC0pK', '6ecCVdF55fHdbVlAu1lJXU', '6zGmypGQUBXD4ZC9EbfMme', '0llYwFIMgF9Jzmp4ZY7wbr', '6CKN3GUiWMrESH1RKn3ecz']","['Gen Hoshino', 'Sakanaction', 'UNISON SQUARE GARDEN', 'SEKAI NO OWARI', 'KAT-TUN', 'AAA', 'Kenshi Yonezu', 'The Sharehappi from J Soul Brothers III from EXILE TRIBE', 'GReeeeN', 'Kazunari Ninomiya', 'Sho Sakurai', 'Masaki Aiba', 'Jun Matsumoto', 'Little Glee Monster', 'Yuzu', 'Satoshi Ohno', 'FUNKY MONKEY BABYS', 'EXILE', 'KOBUKURO', 'E-girls']"
0hCWVMGGQnRVfDgmhwLIxq,Sakanaction,59,"['hokkaido indie', 'j-pop', 'j-poprock', 'j-rock', 'japanese electropop']","['1XYuC1vxinTjHCNd5clB8C', '1S2S00lgLYLGHWA44qGEUs', '449AEgfeOxqAuRn0uX6l3u', '1bj13qFAwnyM3ILOiFnn1Y', '2s2SpSMHZqKrVhDr2F5km0', '5ydDSP9qSxEOlHWnpbblFB', '3RkPaFeTMrHIsB5HMEUdNt', '0GtBUVp1cWdIUKwm2GHTHc', '0O0hxUrO2PKxZknken3R24', '2YtvgEYiTH6jh7n2UmUdXX', '6KQWWzFLPQbqomJrieHAW5', '7jGn8qhLb48n7yMMNfAoHv', '2QgdUzpKFNxey5IuwvsGBL', '26ZBeXl5Gqr3TAv2itmyCU', '4g59G9OEAMkD8pd8oiEqx0', '1V1HDPQwGOyUIr9KB6Oq7Q', '26WuprsX7JRG69T0PXkze4', '380DW51qbu5pSP8crFRIII', '7kDTCZA56nH6fCdEY0rBgh', '4q5fHrf0Q0R6imQ3etjXEG']","['ARASHI', 'Gen Hoshino', 'UNISON SQUARE GARDEN', 'Soutaiseiriron', 'The Sharehappi from J Soul Brothers III from EXILE TRIBE', 'Sambomaster', 'Base Ball Bear', 'Chatmonchy', 'Suchmos', 'never young beach', 'Tokyo Incidents', 'Awesome City Club', 'Fujifabric', 'Indigo la End', 'Supercar', 'cero', 'Quruli', 'YUKI', 'Yogee New Waves', 'Straightener']"
1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,64,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']","['1XYuC1vxinTjHCNd5clB8C', '449AEgfeOxqAuRn0uX6l3u', '7HwzlRPa9Ad0I8rK0FPzzK', '4Yz1LjHwgQ5DFWJrZL8bC8', '5VLVogbPeBgFHXQPZQzBej', '0hCWVMGGQnRVfDgmhwLIxq', '1XErHyc10VN8bfGKma1Yyc', '3R3WEsfL1WC1zLiz3XG9K5', '08lN7bm4Etec8ETFxaTUmq', '7lNFzeAXmSIKexINNgO6bu', '2ZjWbNQAjL74Pf4aqikIz2', '14T8NkbwXVZgbOvwnuGV89', '706WzkJEacBrtkHKRpBU2q', '22FsmLO3ZyvgWBy5QbfcQi', '1snhtMLeb2DYoMOcVbb8iB', '6ecCVdF55fHdbVlAu1lJXU', '2s2SpSMHZqKrVhDr2F5km0', '0llYwFIMgF9Jzmp4ZY7wbr', '7qpGWSiolU9E5WbkvTaMDd', '3x621ItlHMtX7mrJ8QnEjM']","['ARASHI', 'UNISON SQUARE GARDEN', 'SEKAI NO OWARI', 'Remioromen', 'JUJU', 'Sakanaction', 'Leo Ieiri', 'miwa', 'Nogizaka46', 'Yuzu', 'Shota Shimizu', 'GReeeeN', 'Motohiro Hata', 'ayaka', 'Kenshi Yonezu', 'FUNKY MONKEY BABYS', 'The Sharehappi from J Soul Brothers III from EXILE TRIBE', 'KOBUKURO', 'CHiCO with HoneyWorks', 'HY']"
449AEgfeOxqAuRn0uX6l3u,UNISON SQUARE GARDEN,55,"['anime', 'j-pop', 'j-poprock', 'j-rock']","['1S2S00lgLYLGHWA44qGEUs', '1XYuC1vxinTjHCNd5clB8C', '4Yz1LjHwgQ5DFWJrZL8bC8', '0hCWVMGGQnRVfDgmhwLIxq', '6Gem5Nh6gd9PCtWdzR7Odh', '2s2SpSMHZqKrVhDr2F5km0', '0aqPTOZlKG6ltJHv7BNlsm', '0ySFZq3Wd0SQUyJUzmJAeb', '4rqJz9fE9prZvQd8WsQv6q', '1CWmF1EcrKoWIbZt9Ivfg2', '16FpDRuy5xMHpuLYZV0Hkt', '1hLhr1vN1iKGMb0B0MTN6k', '3RkPaFeTMrHIsB5HMEUdNt', '1luOe8HkZQ7zwuaO2wuJqI', '3srPc1Mytv5GmTWqsQuoXW', '6iglpAqZTAmvm0ffNKlaFS', '7p2S6p9yYGhJTtbTQFnsYZ', '3GP0RQRnBvpYVgdVYfcaGS', '0SMhG4gXGD4gzLMMz08cQU', '0nES8AwBZpeQ69oZZp47OL']","['Gen Hoshino', 'ARASHI', 'Remioromen', 'Sakanaction', '04 Limited Sazabys', 'The Sharehappi from J Soul Brothers III from EXILE TRIBE', 'go!go!vanillas', 'sumika', 'THE ORAL CIGARETTES', 'BLUE ENCOUNT', 'NICO Touches the Walls', 'BIGMAMA', 'Base Ball Bear', '[Alexandros]', 'frederic', 'tacica', 'Galileo Galilei', 'Yabai T-Shirts Yasan', 'SUPER BEAVER', 'KEYTALK']"
7HwzlRPa9Ad0I8rK0FPzzK,SEKAI NO OWARI,65,"['anime', 'j-pop']","['5VLVogbPeBgFHXQPZQzBej', '3R3WEsfL1WC1zLiz3XG9K5', '1S2S00lgLYLGHWA44qGEUs', '1XErHyc10VN8bfGKma1Yyc', '08lN7bm4Etec8ETFxaTUmq', '2ZjWbNQAjL74Pf4aqikIz2', '7qpGWSiolU9E5WbkvTaMDd', '087QaLOI8MKeT9yHgjPu7P', '2mGYHril2LuZodRtTX06BC', '29D4iRqjepAsZt6o5hccND', '14T8NkbwXVZgbOvwnuGV89', '6ecCVdF55fHdbVlAu1lJXU', '706WzkJEacBrtkHKRpBU2q', '22FsmLO3ZyvgWBy5QbfcQi', '0llYwFIMgF9Jzmp4ZY7wbr', '3D73KNJRMbV45N59E8IN0F', '7HKv46ONX5fJFCSygtx9R0', '3x621ItlHMtX7mrJ8QnEjM', '0b59cVa1STVENq3i7wkcHV', '1XYuC1vxinTjHCNd5clB8C']","['JUJU', 'miwa', 'Gen Hoshino', 'Leo Ieiri', 'Nogizaka46', 'Shota Shimizu', 'CHiCO with HoneyWorks', 'Hazzie', 'Kumi Koda', 'Miliyah', 'GReeeeN', 'FUNKY MONKEY BABYS', 'Motohiro Hata', 'ayaka', 'KOBUKURO', 'Mika Nakashima', 'Chris Hart', 'HY', 'End of the World', 'ARASHI']"
1AyWsgtaIgXbzjJlTx2ZDp,AAA,59,['j-pop'],"['1XYuC1vxinTjHCNd5clB8C', '14T8NkbwXVZgbOvwnuGV89', '22FsmLO3ZyvgWBy5QbfcQi', '4L9VSeE7K3BTBndqEL9A6q', '7dZHl3ZmH21XpCwvcMlnml', '4DDoAL8n6ob19r3jOZEbJI', '5Kpt1mryjiwHa9goYPQG1o', '71UIOLnsacxQHlU55TvfiH', '2UEnhov0KDPYU2dmGUjfcn', '4Kbxm7oCQujaslLxf9q7k2', '3Mvc8kRgr8LRYYgvFmlZqn', '1S2S00lgLYLGHWA44qGEUs', '5HQAzIHOdemXR2DoevwhjT', '29PeG6G6C986jnRPBECm4D', '1AU9Y5Y2Taxe4yh7AI6JRD', '3NRXKeatDxKe4apH6XawKX', '01wau5CL3Z1vfJJWkzBkqg', '6ecCVdF55fHdbVlAu1lJXU', '3yzQHdj9G34CVZ5rVUDrOM', '24r8fVuKK3xtC1L7iSiM4O']","['ARASHI', 'GReeeeN', 'ayaka', 'Nissy', 'Every Little Thing', 'Kana Nishino', 'flumpool', 'Da-iCE', 'w-inds.', 'SKY-HI', 'Ayumi Hamasaki', 'Gen Hoshino', 'KAT-TUN', 'Mihimaru GT', 'Thelma Aoyama', 'DA PUMP', 'AKB48', 'FUNKY MONKEY BABYS', 'Crystal Kay', 'EXILE ATSUSHI']"
5HQAzIHOdemXR2DoevwhjT,KAT-TUN,37,['j-pop'],"['5gSFxPK5Te7WRIKL5CEWos', '1AyWsgtaIgXbzjJlTx2ZDp', '4HfuyMMy295oBvbIuXr0v8', '6CKN3GUiWMrESH1RKn3ecz', '4CVOP5NrfTIzw0vBWw7GyT', '6nVMMEywS5Y4tsHPKx1nIo', '3j7uZzajP66dZDquvCyeI6', '2UEnhov0KDPYU2dmGUjfcn', '3Zl0EsuYV23OgNw6WqGelN', '4BmWSGKG6HiYvLuJvZ9afa', '630wzNP2OL7fl4Xl0GnMWq', '01wau5CL3Z1vfJJWkzBkqg', '14T8NkbwXVZgbOvwnuGV89', '6dCz3spfpIvqqqsIoP6wXi', '08lN7bm4Etec8ETFxaTUmq', '306dHo0f0MBUKj8hg5jep2', '6ZkreMw9VEGOdBw6NEuG92', '5BI4bcMRRJ7Yncavkdly3D', '0gakJs5JAKmJZ4KnAHMh9i', '0ebinq3ZTOQAJNag4sBTJj']","['Jin Akanishi', 'AAA', 'GENERATIONS from EXILE TRIBE', 'E-girls', 'News', 'TVXQ!', 'Tokio', 'w-inds.', 'Momoiro Clover Z', 'Namie Amuro', 'BABYMETAL', 'AKB48', 'GReeeeN', 'CNBLUE', 'Nogizaka46', 'NYC', 'Sakuragakuin', 'Golf & Mike', 'Do As Infinity', 'BiSH']"
14T8NkbwXVZgbOvwnuGV89,GReeeeN,63,"['j-pop', 'j-pop boy group', 'j-poprock']","['6ecCVdF55fHdbVlAu1lJXU', '3R3WEsfL1WC1zLiz3XG9K5', '3D73KNJRMbV45N59E8IN0F', '3x621ItlHMtX7mrJ8QnEjM', '1XErHyc10VN8bfGKma1Yyc', '22FsmLO3ZyvgWBy5QbfcQi', '0llYwFIMgF9Jzmp4ZY7wbr', '706WzkJEacBrtkHKRpBU2q', '5VLVogbPeBgFHXQPZQzBej', '5M8AXrOifBT8elkLKbGPQZ', '5Kpt1mryjiwHa9goYPQG1o', '4FyAgiZa3q0eeljDvcOXFh', '7HKv46ONX5fJFCSygtx9R0', '5YneEA2nLtAhkD5t2769lZ', '3uyDATzOGjbGCts7v2eszk', '7HwzlRPa9Ad0I8rK0FPzzK', '7lNFzeAXmSIKexINNgO6bu', '29PeG6G6C986jnRPBECm4D', '2mJOGcLR3aCHkM1uAF93or', '4Yz1LjHwgQ5DFWJrZL8bC8']","['FUNKY MONKEY BABYS', 'miwa', 'Mika Nakashima', 'HY', 'Leo Ieiri', 'ayaka', 'KOBUKURO', 'Motohiro Hata', 'JUJU', 'Superfly', 'flumpool', 'Ketsumeishi', 'Chris Hart', 'Ikimonogakari', 'MISIA', 'SEKAI NO OWARI', 'Yuzu', 'Mihimaru GT', 'DREAMS COME TRUE', 'Remioromen']"
2s2SpSMHZqKrVhDr2F5km0,The Sharehappi from J Soul Brothers III from EXILE TRIBE,28,[],"['1zhDogQb9KbzbTjlna6Btm', '4B80RsoopNFrdZZSmsKaBR', '1cF1uc5aghM4B8C6X8PuRk', '70OLJdY31J0j1JgNcLsvSc', '3W1ngtATnVgwbL1Ha2BG9c', '4XwgSK4cf1mOO6wqXwYU8o', '6hgAxdLyAScworv2mZucqK', '1Pzt7WyaiqfngZpWFA5Lts', '4lsSLCTKrmfULsRivqAShx', '1hGDB3W5mvP1ETGu2aU5WM', '6CaiCjxA5ZVcsfF0ApJsG8', '5l7Uyt1IiYk8l93ohXiQd6', '3UFedcomdVPHUI9MTh9vJv', '4cW96mgPlmNlWAQyHJNzS4', '2q4DyDrrCWAlIk8foYvVWC', '1XYuC1vxinTjHCNd5clB8C', '4xe5iYA9NFDsyVJmvy1uiF', '24r8fVuKK3xtC1L7iSiM4O', '2cD2ndst4zaoaoNldSXhMH', '162Ols90jU4CctXQz15NxS']","['J Soul Brothers Ⅱ', 'HIROOMI TOSAKA feat. CRAZYBOY', 'EXILE TRIBE', 'Ryuji Imaichi', '三代目 J SOUL BROTHERS from EXILE TRIBE feat. Yellow Claw', 'EXILE SHOKICHI', 'ØMI', 'PKCZ(R)', 'Hiroomi Tosaka', 'CrazyBoy', 'HONEST BOYZ(R)', 'EXILE THE SECOND', 'ACE OF SPADES', 'EXILE TAKAHIRO', 'ShuuKaRen', 'ARASHI', 'm-flo presents PRINCE PROJECT', 'EXILE ATSUSHI', 'Takanori Iwata', 'FANTASTICS from EXILE TRIBE']"
