id,name,popularity,genres,related_artist_ids,related_artist_names
5ydDSP9qSxEOlHWnpbblFB,Sambomaster,53,"['j-pop', 'j-poprock', 'j-rock']","['2dP0aHVXt8dDPCw5d2Jw0m', '3ZWE1TnryM03rfzVin17K0', '7EyYmxeTBOeaZ09aaAAtCE', '0hCWVMGGQnRVfDgmhwLIxq', '0GtBUVp1cWdIUKwm2GHTHc', '2zUQjYvy0TevSi4d3PjqQO', '24ljrnVUlUZ2apxF6GZsrm', '6e9Wgn2800cCQcM0b4cNwt', '16FpDRuy5xMHpuLYZV0Hkt', '2QgdUzpKFNxey5IuwvsGBL', '6bCInSZj1C1H8Mz7m4LqYA', '0QZqdhoRQkn1VphAa5eX8h', '3X1afU2VL6MV0AJacARH7T', '2YtvgEYiTH6jh7n2UmUdXX', '3RkPaFeTMrHIsB5HMEUdNt', '3cbd5GWGOknxmFAe77MDbk', '5kgH3qVSSDPPmKnQfrkblH', '6Gem5Nh6gd9PCtWdzR7Odh', '4upiYMjsFfLRieGo8RVRzD', '0wRzWf3I4lUl9hdFF5uL0m']","['GING NANG BOYZ', 'Tamio Okuda', 'GOING STEADY', 'Sakanaction', 'Chatmonchy', 'MONGOL800', 'Elephant Kashimashi', 'Ulfuls', 'NICO Touches the Walls', 'Fujifabric', 'andymori', '10-FEET', ""OKAMOTO'S"", 'never young beach', 'Base Ball Bear', 'ELLEGARDEN', 'RIP SLYME', '04 Limited Sazabys', 'ORANGE RANGE', 'Sukima Switch']"
2dP0aHVXt8dDPCw5d2Jw0m,GING NANG BOYZ,47,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese punk rock']","['7EyYmxeTBOeaZ09aaAAtCE', '4g59G9OEAMkD8pd8oiEqx0', '2YtvgEYiTH6jh7n2UmUdXX', '5ydDSP9qSxEOlHWnpbblFB', '26WuprsX7JRG69T0PXkze4', '0FXxQ0TEYtebM8gGg0xdoC', '75eQ7NabzgaaUYcrqSY0FK', '2DBcgbvakjiv4Yi9bRyjVX', '6bCInSZj1C1H8Mz7m4LqYA', '4lvNMRaWPYoY00026CDvkb', '7kDTCZA56nH6fCdEY0rBgh', '5Y2k6C2UgQVRd3zzsx1CcH', '3jpFXrTLWqYtXSAxboiiL5', '4cSyPcpldERtF4eL3NB9dn', '0GtBUVp1cWdIUKwm2GHTHc', '1bj13qFAwnyM3ILOiFnn1Y', '58zME34zPsQx58YXCyFryH', '2QgdUzpKFNxey5IuwvsGBL', '7mhywHwc3ElwYwiMLEsduP', '0nwTdEUuG7c1M3kR9CIIxm']","['GOING STEADY', 'Supercar', 'never young beach', 'Sambomaster', 'Quruli', 'Number Girl', 'Regal Lily', 'Thee Michelle Gun Elephant', 'andymori', 'SUNNY CAR WASH', 'Yogee New Waves', 'Eastern Youth', 'Helsinki Lambda Club', 'Sunny Day Service', 'Chatmonchy', 'Soutaiseiriron', 'The Birthday', 'Fujifabric', 'Wasureranneyo', 'syrup16g']"
3ZWE1TnryM03rfzVin17K0,Tamio Okuda,46,"['j-acoustic', 'j-pop', 'j-poprock', 'j-rock', 'japanese singer-songwriter']","['00J5DWQel4eH9qQnDS6qrn', '6e9Wgn2800cCQcM0b4cNwt', '1xCdTZ5Wu70H6YwsmpgmHg', '6gvedX0HcRQYMD5IhY8KKt', '5ydDSP9qSxEOlHWnpbblFB', '5lTGqFmlTng9jPrs7c2dRA', '24ljrnVUlUZ2apxF6GZsrm', '2dP0aHVXt8dDPCw5d2Jw0m', '26WuprsX7JRG69T0PXkze4', '3v8Gnj6Kvl1fShyGgacgu1', '1wpwIk5yi1Oy6zjjzF7ntw', '3rj96ybf29aaJsJRg4Qci2', '2DBcgbvakjiv4Yi9bRyjVX', '7LPp4MiQ8yxVUxhxipe0mm', '7unNuvk3OEqGmegHTaxRA9', '4cSyPcpldERtF4eL3NB9dn', '76QaFuQNldIJkAkDmaMAck', '2QgdUzpKFNxey5IuwvsGBL', '286Db6EQmfgB3SJYulhGqb', '7vDBc24PdLxDQEF6tGHnzM']","['TRICERATOPS', 'Ulfuls', 'THE YELLOW MONKEY', 'Masayoshi Yamazaki', 'Sambomaster', 'Kome Kome Club', 'Elephant Kashimashi', 'GING NANG BOYZ', 'Quruli', 'My Little Lover', 'RC Succession', 'THE BOOM', 'Thee Michelle Gun Elephant', 'GRAPEVINE', 'JUDY AND MARY', 'Sunny Day Service', 'Original Love', 'Fujifabric', 'Motoharu Sano', 'Magokoro Brothers']"
7EyYmxeTBOeaZ09aaAAtCE,GOING STEADY,37,"['j-poprock', 'j-rock', 'japanese punk rock']","['2dP0aHVXt8dDPCw5d2Jw0m', '65ZxfiilUIYWNEpDjrHaM5', '2zUQjYvy0TevSi4d3PjqQO', '4pPZ7nNH108ax8A1sjxfpX', '3reslfdzWDC8qHVM36KtZy', '5ydDSP9qSxEOlHWnpbblFB', '40y1P1mpPSpiRxL5LDv6aI', '36wyiJipzsPL3IHMe7JzPX', '1ZUagrWzR2kve94ptFLdSz', '5uZU1Q2bJFoFAqq1FcF1pw', '5bqCpmhZzNzRzzKSbbDkeH', '1FXeQKrufIqfjNAPPV4bfx', '30W3lzQdQnTAtkvJ9Rx21l', '03iXYfVe4ZvZ0Q0dfLxzKc', '16LHeL1NFVUDTC6dLzkwcm', '6E0nqUTrVRNwUGcbZxeDX9', '1ibfTwhFGhVZWjOoIevFOQ', '2wDlv5Qp9pffOqnO4vdn8L', '11PVIVQzvdHOrvVmNlkYNZ', '66ngkg99OYT8xfzYy660Wu']","['GING NANG BOYZ', 'BRAHMAN', 'MONGOL800', 'Ken Yokoyama', 'Husking Bee', 'Sambomaster', '175R', 'RIZE', 'B-DASH', 'Hawaiian6', 'Hi-STANDARD', 'Snail Ramp', 'BEAT CRUSADERS', 'LOW IQ 01', 'locofrank', 'MONOEYES', 'SHAKALABBITS', 'Dragon Ash', 'dustbox', 'GO!GO!7188']"
0hCWVMGGQnRVfDgmhwLIxq,Sakanaction,59,"['hokkaido indie', 'j-pop', 'j-poprock', 'j-rock', 'japanese electropop']","['1XYuC1vxinTjHCNd5clB8C', '1S2S00lgLYLGHWA44qGEUs', '449AEgfeOxqAuRn0uX6l3u', '1bj13qFAwnyM3ILOiFnn1Y', '2s2SpSMHZqKrVhDr2F5km0', '5ydDSP9qSxEOlHWnpbblFB', '3RkPaFeTMrHIsB5HMEUdNt', '0O0hxUrO2PKxZknken3R24', '0GtBUVp1cWdIUKwm2GHTHc', '2YtvgEYiTH6jh7n2UmUdXX', '6KQWWzFLPQbqomJrieHAW5', '7jGn8qhLb48n7yMMNfAoHv', '2QgdUzpKFNxey5IuwvsGBL', '26ZBeXl5Gqr3TAv2itmyCU', '4g59G9OEAMkD8pd8oiEqx0', '1V1HDPQwGOyUIr9KB6Oq7Q', '26WuprsX7JRG69T0PXkze4', '380DW51qbu5pSP8crFRIII', '7kDTCZA56nH6fCdEY0rBgh', '4q5fHrf0Q0R6imQ3etjXEG']","['ARASHI', 'Gen Hoshino', 'UNISON SQUARE GARDEN', 'Soutaiseiriron', 'The Sharehappi from J Soul Brothers III from EXILE TRIBE', 'Sambomaster', 'Base Ball Bear', 'Suchmos', 'Chatmonchy', 'never young beach', 'Tokyo Incidents', 'Awesome City Club', 'Fujifabric', 'Indigo la End', 'Supercar', 'cero', 'Quruli', 'YUKI', 'Yogee New Waves', 'Straightener']"
0GtBUVp1cWdIUKwm2GHTHc,Chatmonchy,47,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock']","['3RkPaFeTMrHIsB5HMEUdNt', '4q5fHrf0Q0R6imQ3etjXEG', '2QgdUzpKFNxey5IuwvsGBL', '0zEbGW70TQHSOf4Ip1oeVn', '66ngkg99OYT8xfzYy660Wu', '4AQqBRDKp5y5D7XXMhyq4s', '30W3lzQdQnTAtkvJ9Rx21l', '3v0nHmnUcf9GAhjQOTctQu', '0MK8l3nURwwQIjafvXoJJt', '3cbd5GWGOknxmFAe77MDbk', '2wRKaUyXjAYRkelDUugZrQ', '2zrpw0rjWCFEMb8MVhug5F', '0QZqdhoRQkn1VphAa5eX8h', '3X1afU2VL6MV0AJacARH7T', '0hCWVMGGQnRVfDgmhwLIxq', '6bCInSZj1C1H8Mz7m4LqYA', '1ibfTwhFGhVZWjOoIevFOQ', '0nwTdEUuG7c1M3kR9CIIxm', '53qmbfZrKa81AKLdojnxBT', '2DBcgbvakjiv4Yi9bRyjVX']","['Base Ball Bear', 'Straightener', 'Fujifabric', 'ACIDMAN', 'GO!GO!7188', 'the HIATUS', 'BEAT CRUSADERS', '9mm Parabellum Bullet', 'ASIAN KUNG-FU GENERATION', 'ELLEGARDEN', 'the telephones', 'THE BAWDIES', '10-FEET', ""OKAMOTO'S"", 'Sakanaction', 'andymori', 'SHAKALABBITS', 'syrup16g', 'ART-SCHOOL', 'Thee Michelle Gun Elephant']"
2zUQjYvy0TevSi4d3PjqQO,MONGOL800,52,"['j-pop', 'j-poprock', 'j-punk', 'j-rock', 'japanese punk rock', 'okinawan pop']","['2wDlv5Qp9pffOqnO4vdn8L', '1ZUagrWzR2kve94ptFLdSz', '65ZxfiilUIYWNEpDjrHaM5', '7EyYmxeTBOeaZ09aaAAtCE', '40y1P1mpPSpiRxL5LDv6aI', '1ibfTwhFGhVZWjOoIevFOQ', '4pPZ7nNH108ax8A1sjxfpX', '36wyiJipzsPL3IHMe7JzPX', '30W3lzQdQnTAtkvJ9Rx21l', '03iXYfVe4ZvZ0Q0dfLxzKc', '1FXeQKrufIqfjNAPPV4bfx', '3reslfdzWDC8qHVM36KtZy', '5uZU1Q2bJFoFAqq1FcF1pw', '0QZqdhoRQkn1VphAa5eX8h', '3cbd5GWGOknxmFAe77MDbk', '3x621ItlHMtX7mrJ8QnEjM', '6E0nqUTrVRNwUGcbZxeDX9', '16LHeL1NFVUDTC6dLzkwcm', '2Bxu9stwgeIGzYeTNRicKE', '6YqdtpUutxodni6lUD4stM']","['Dragon Ash', 'B-DASH', 'BRAHMAN', 'GOING STEADY', '175R', 'SHAKALABBITS', 'Ken Yokoyama', 'RIZE', 'BEAT CRUSADERS', 'LOW IQ 01', 'Snail Ramp', 'Husking Bee', 'Hawaiian6', '10-FEET', 'ELLEGARDEN', 'HY', 'MONOEYES', 'locofrank', 'TOTALFAT', 'WANIMA']"
24ljrnVUlUZ2apxF6GZsrm,Elephant Kashimashi,49,"['classic j-rock', 'j-pop', 'j-rock']","['2DBcgbvakjiv4Yi9bRyjVX', '58zME34zPsQx58YXCyFryH', '5Y2k6C2UgQVRd3zzsx1CcH', '1xCdTZ5Wu70H6YwsmpgmHg', '0FXxQ0TEYtebM8gGg0xdoC', '2QgdUzpKFNxey5IuwvsGBL', '4g59G9OEAMkD8pd8oiEqx0', '4cSyPcpldERtF4eL3NB9dn', '26WuprsX7JRG69T0PXkze4', '2dP0aHVXt8dDPCw5d2Jw0m', '3FxIxhSKWszGB3z3FoZDXh', '0GtBUVp1cWdIUKwm2GHTHc', '6e9Wgn2800cCQcM0b4cNwt', '66ngkg99OYT8xfzYy660Wu', '5ydDSP9qSxEOlHWnpbblFB', '3X1afU2VL6MV0AJacARH7T', '3JByu9VCNA1Rs6puGfRupj', '5bqCpmhZzNzRzzKSbbDkeH', '5RI6QZwb39XNUV2vZv2aQY', '6gvedX0HcRQYMD5IhY8KKt']","['Thee Michelle Gun Elephant', 'The Birthday', 'Eastern Youth', 'THE YELLOW MONKEY', 'Number Girl', 'Fujifabric', 'Supercar', 'Sunny Day Service', 'Quruli', 'GING NANG BOYZ', 'SUPER BUTTER DOG', 'Chatmonchy', 'Ulfuls', 'GO!GO!7188', 'Sambomaster', ""OKAMOTO'S"", 'Denki Groove', 'Hi-STANDARD', 'Humbert Humbert', 'Masayoshi Yamazaki']"
6e9Wgn2800cCQcM0b4cNwt,Ulfuls,48,"['classic j-pop', 'j-pop', 'j-poprock', 'j-rock', 'japanese blues']","['6gvedX0HcRQYMD5IhY8KKt', '7unNuvk3OEqGmegHTaxRA9', '1xCdTZ5Wu70H6YwsmpgmHg', '2zUQjYvy0TevSi4d3PjqQO', '5V7OCRPNS7vBRLRkrMVNqp', '2wDlv5Qp9pffOqnO4vdn8L', '3rj96ybf29aaJsJRg4Qci2', '3v8Gnj6Kvl1fShyGgacgu1', '7lNFzeAXmSIKexINNgO6bu', '4cShXyYZpvnVZYeE3Oukns', '31VPfrPEa86aKpD2LT3Ued', '00AFbqxvdDK6T1D6MQZ9c1', '0pr3ep0knQaPHEZ2X8niA0', '0wRzWf3I4lUl9hdFF5uL0m', '3ZWE1TnryM03rfzVin17K0', '5FGlhIQqewJRV8fx24toG0', '24ljrnVUlUZ2apxF6GZsrm', '3x621ItlHMtX7mrJ8QnEjM', '2mJOGcLR3aCHkM1uAF93or', '1qma7XhwZotCAucL7NHVLY']","['Masayoshi Yamazaki', 'JUDY AND MARY', 'THE YELLOW MONKEY', 'MONGOL800', 'LOVE PSYCHEDELICO', 'Dragon Ash', 'THE BOOM', 'My Little Lover', 'Yuzu', 'HOTEI', 'Naotaro Moriyama', 'GLAY', 'BOØWY', 'Sukima Switch', 'Tamio Okuda', 'Masaharu Fukuyama', 'Elephant Kashimashi', 'HY', 'DREAMS COME TRUE', 'Mr.Children']"
16FpDRuy5xMHpuLYZV0Hkt,NICO Touches the Walls,55,"['anime', 'j-pop', 'j-poprock', 'j-rock']","['3w2HqkKa6upwuXEULtGvnY', '41wiRMqVmNSZ3FFM7JIeht', '7p2S6p9yYGhJTtbTQFnsYZ', '2KnTQRef7hcVlK7vO9wPzI', '5jQa0f5MIMPEK7udL7UpI6', '0Oazwl71qoHvXnbSxv0wOT', '12CmFAwzxYnVtJgnzIysvm', '5Kpt1mryjiwHa9goYPQG1o', '6iglpAqZTAmvm0ffNKlaFS', '4rqJz9fE9prZvQd8WsQv6q', '2mg9AmMi3b9jTbaOR5If4C', '2XhA8BOHxO5NwbY6q3W8mD', '2zwGPEFviyaICCDiAWxLjy', '0aqPTOZlKG6ltJHv7BNlsm', '3srPc1Mytv5GmTWqsQuoXW', '1luOe8HkZQ7zwuaO2wuJqI', '5ydDSP9qSxEOlHWnpbblFB', '0MK8l3nURwwQIjafvXoJJt', '6m14xgA0m3w92UM7ujJgky', '3PWp9R5HvbQgxI5KBx5kVd']","['FLOW', 'BACK-ON', 'Galileo Galilei', 'Home Made Kazoku', 'PornoGraffitti', 'BURNOUT SYNDROMES', 'Hello Sleepwalkers', 'flumpool', 'tacica', 'THE ORAL CIGARETTES', ""ROOKiEZ is PUNK'D"", 'Aqua Timez', 'DOES', 'go!go!vanillas', 'frederic', '[Alexandros]', 'Sambomaster', 'ASIAN KUNG-FU GENERATION', 'UVERworld', 'KANA-BOON']"
2QgdUzpKFNxey5IuwvsGBL,Fujifabric,54,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock']","['3RkPaFeTMrHIsB5HMEUdNt', '4q5fHrf0Q0R6imQ3etjXEG', '0zEbGW70TQHSOf4Ip1oeVn', '3v0nHmnUcf9GAhjQOTctQu', '0GtBUVp1cWdIUKwm2GHTHc', '2wRKaUyXjAYRkelDUugZrQ', '4AQqBRDKp5y5D7XXMhyq4s', '3X1afU2VL6MV0AJacARH7T', '1Z9z0ONErFhEvidgPFOi6W', '53qmbfZrKa81AKLdojnxBT', '06qEHODsluMWTP4MrQC9RF', '58zME34zPsQx58YXCyFryH', '30W3lzQdQnTAtkvJ9Rx21l', '0FXxQ0TEYtebM8gGg0xdoC', '02PEhzGH16gaPuzm29f0zL', '6bCInSZj1C1H8Mz7m4LqYA', '2zrpw0rjWCFEMb8MVhug5F', '2DBcgbvakjiv4Yi9bRyjVX', '5WjMlwKQ6AYKvb7ULIv310', '66ngkg99OYT8xfzYy660Wu']","['Base Ball Bear', 'Straightener', 'ACIDMAN', '9mm Parabellum Bullet', 'Chatmonchy', 'the telephones', 'the HIATUS', ""OKAMOTO'S"", 'Doping Panda', 'ART-SCHOOL', 'THE NOVEMBERS', 'The Birthday', 'BEAT CRUSADERS', 'Number Girl', 'UNCHAIN', 'andymori', 'THE BAWDIES', 'Thee Michelle Gun Elephant', 'Grapevine', 'GO!GO!7188']"
6bCInSZj1C1H8Mz7m4LqYA,andymori,44,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese garage rock', 'japanese punk rock']","['6AlNLPdG0AuzAufamHvqIn', '5ii4bSDtkpahh72mJDqDqF', '06qEHODsluMWTP4MrQC9RF', '3RkPaFeTMrHIsB5HMEUdNt', '6POfB0fHdzXFLWL3RHxLv8', '2AshAnVKDPE6B69jkFZVPD', '0X9vdekJ6sIKcUvwIgVsjW', '4q5fHrf0Q0R6imQ3etjXEG', '3X1afU2VL6MV0AJacARH7T', '4AQqBRDKp5y5D7XXMhyq4s', '2QgdUzpKFNxey5IuwvsGBL', '2wRKaUyXjAYRkelDUugZrQ', '3v0nHmnUcf9GAhjQOTctQu', '53qmbfZrKa81AKLdojnxBT', '7mhywHwc3ElwYwiMLEsduP', '0GtBUVp1cWdIUKwm2GHTHc', '6VvYjbQYr7yCIeED7VkQed', '7n437ZdDaCzqjJDJ7WmbyX', '2mYWlkgsLZ0WZ75nJnjuab', '2zrpw0rjWCFEMb8MVhug5F']","['ハヌマーン', 'plenty', 'THE NOVEMBERS', 'Base Ball Bear', 'Creep Hyp', 'group_inou', 'OGRE YOU ASSHOLE', 'Straightener', ""OKAMOTO'S"", 'the HIATUS', 'Fujifabric', 'the telephones', '9mm Parabellum Bullet', 'ART-SCHOOL', 'Wasureranneyo', 'Chatmonchy', 'Vola & The Oriental Machine', 'androp', 'Qomolangma Tomato', 'THE BAWDIES']"
0QZqdhoRQkn1VphAa5eX8h,10-FEET,48,"['j-pop', 'j-poprock', 'j-rock', 'japanese punk rock', 'japanese ska']","['1ZUagrWzR2kve94ptFLdSz', '4pPZ7nNH108ax8A1sjxfpX', '11PVIVQzvdHOrvVmNlkYNZ', '16LHeL1NFVUDTC6dLzkwcm', '03iXYfVe4ZvZ0Q0dfLxzKc', '30W3lzQdQnTAtkvJ9Rx21l', '4AQqBRDKp5y5D7XXMhyq4s', '5uZU1Q2bJFoFAqq1FcF1pw', '4fsXgCjIFWNkCrO2rHd5da', '6M3qOVU78YQgrkZaePYhHz', '5bqCpmhZzNzRzzKSbbDkeH', '6YqdtpUutxodni6lUD4stM', '1FXeQKrufIqfjNAPPV4bfx', '3reslfdzWDC8qHVM36KtZy', '3cbd5GWGOknxmFAe77MDbk', '65ZxfiilUIYWNEpDjrHaM5', '2Bxu9stwgeIGzYeTNRicKE', '0zEbGW70TQHSOf4Ip1oeVn', '0ULdhIbhpUx97klXlmINML', '4q5fHrf0Q0R6imQ3etjXEG']","['B-DASH', 'Ken Yokoyama', 'dustbox', 'locofrank', 'LOW IQ 01', 'BEAT CRUSADERS', 'the HIATUS', 'Hawaiian6', 'Northern19', 'FACT', 'Hi-STANDARD', 'WANIMA', 'Snail Ramp', 'Husking Bee', 'ELLEGARDEN', 'BRAHMAN', 'TOTALFAT', 'ACIDMAN', 'Over Arm Throw', 'Straightener']"
3X1afU2VL6MV0AJacARH7T,OKAMOTO'S,48,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese garage rock']","['2zrpw0rjWCFEMb8MVhug5F', '2QgdUzpKFNxey5IuwvsGBL', '4q5fHrf0Q0R6imQ3etjXEG', '3RkPaFeTMrHIsB5HMEUdNt', '2wRKaUyXjAYRkelDUugZrQ', '6bCInSZj1C1H8Mz7m4LqYA', '3v0nHmnUcf9GAhjQOTctQu', '0zEbGW70TQHSOf4Ip1oeVn', '58zME34zPsQx58YXCyFryH', '4AQqBRDKp5y5D7XXMhyq4s', '0FXxQ0TEYtebM8gGg0xdoC', '02PEhzGH16gaPuzm29f0zL', '2DBcgbvakjiv4Yi9bRyjVX', '0GtBUVp1cWdIUKwm2GHTHc', '79HYgPQhrRdcGWDwZO2fhV', '0QZqdhoRQkn1VphAa5eX8h', '5ztM0WRyJguGFiLusqTBKs', '2YtvgEYiTH6jh7n2UmUdXX', '7mhywHwc3ElwYwiMLEsduP', '6POfB0fHdzXFLWL3RHxLv8']","['THE BAWDIES', 'Fujifabric', 'Straightener', 'Base Ball Bear', 'the telephones', 'andymori', '9mm Parabellum Bullet', 'ACIDMAN', 'The Birthday', 'the HIATUS', 'Number Girl', 'UNCHAIN', 'Thee Michelle Gun Elephant', 'Chatmonchy', 'The Mirraz', '10-FEET', 'AKAIKO-EN', 'never young beach', 'Wasureranneyo', 'Creep Hyp']"
2YtvgEYiTH6jh7n2UmUdXX,never young beach,48,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock']","['7kDTCZA56nH6fCdEY0rBgh', '1V1HDPQwGOyUIr9KB6Oq7Q', '59tUUyuaTFMty5kJE9Ojrq', '6cMnpAZ9QN0wn4dVd0Tinb', '0O0hxUrO2PKxZknken3R24', '1pnciyHx1BO7b1EqyatTrx', '26WuprsX7JRG69T0PXkze4', '3WwL2Gya2VH0zHzOdakOX2', '4TFfPbcLZFXw1C6zsJhoeX', '5BANJdBRihIaUpzjqAec7E', '2yPOqQXgXAw3TVjCNReIrD', '2dP0aHVXt8dDPCw5d2Jw0m', '7tyrh2CwSnilzMD8olQxcx', '4cSyPcpldERtF4eL3NB9dn', '3jpFXrTLWqYtXSAxboiiL5', '6sAONleCsmAyP87OHsVAPV', '27ZpqmpHDgVgmAcBULfzTH', '6bCInSZj1C1H8Mz7m4LqYA', '5IlQkA8Lq4X0dOWHBumeJP', '5RI6QZwb39XNUV2vZv2aQY']","['Yogee New Waves', 'cero', 'mitsume', 'TENDRE', 'Suchmos', 'D.A.N.', 'Quruli', 'ROTH BART BARON', 'bonobos', 'Ohashi Trio', 'Nulbarich', 'GING NANG BOYZ', 'LUCKY TAPES', 'Sunny Day Service', 'Helsinki Lambda Club', 'chelmico', 'Yuta Orisaka', 'andymori', 'Tempalay', 'Humbert Humbert']"
